,s_can,s_cal,s_ih,s_kdr,s_kv31,s_skca,s_nal,s_na,gpas,dp_cat,dp_kdr,dp_kv31,dp_skca,dp_nal,dp_na,dp_can,dp_cal,dd_cat,dd_kdr,dd_kv31,dd_skca,dd_nal,dd_na,dd_can,dd_cal,r_kdr,r_na,r_kv31,r_cat,r_cacum_s,r_cacum_d
0,0.0009544246713630855,0.0008591912337578833,0.00026514832279644907,0.0004530340665951371,0.006646730937063694,9.23381739994511e-05,1.5815725419088267e-05,0.0032066332641988993,2.5371075025759637e-05,0.0019163074903190136,0.00994395837187767,0.025032123550772667,6.094645141274668e-05,5.929477083554957e-06,0.0008731698035262525,0.0027763203252106905,0.0008348090923391283,0.0035292126704007387,0.008699921891093254,0.004225539974868298,9.24581108847633e-05,1.9781789887929335e-05,0.00017331242270302027,0.002738659968599677,0.0017720854375511408,0.3495918810367584,0.37127307057380676,5.815895080566406,0.10000000149011612,7.582464218139648,4.699084281921387
1,0.0010102232918143272,0.000645888561848551,0.00016414362471550703,0.0006118339370004833,0.006101119797676802,4.694627205026336e-05,9.832597243075725e-06,0.0019798874855041504,4.4633063225774094e-05,0.003209170885384083,0.004568411502987146,0.017317621037364006,2.2412807084037922e-05,1.0152075446967501e-05,0.0030827627051621675,0.003922752570360899,0.0018754410557448864,0.0008762864163145423,0.00583543349057436,0.02047686092555523,7.088394340826198e-05,9.564698302710894e-06,0.0003361329436302185,0.004928992595523596,0.003713238751515746,0.35297054052352905,0.8103782534599304,5.107309341430664,0.20657500624656677,5.046072483062744,3.8882808685302734
2,0.0016452223062515259,0.00046342116547748446,0.0001415345468558371,6.609408592339605e-05,0.007630601059645414,6.565985677298158e-05,1.3449131074594334e-05,0.002414988586679101,5.3371855756267905e-05,0.0007532358868047595,0.005363709758967161,0.011965113691985607,9.9999998245167e-15,5.6451231102983e-06,0.004709503147751093,0.0021658639889210463,0.0029324288479983807,0.0046892063692212105,0.00037381338188424706,0.021839771419763565,8.686999353813007e-05,2.8726833534165053e-06,1.356056600343436e-05,0.002292797202244401,0.0035405608359724283,0.39960092306137085,0.5603798031806946,5.696127891540527,0.25868868827819824,4.7236785888671875,3.0642573833465576
3,0.001211157301440835,0.0005935337394475937,0.00015995564172044396,0.0003602641518227756,0.007259753532707691,6.95183189236559e-05,1.1808457202278078e-05,0.0022357283160090446,3.4840672014979646e-05,0.0028372942470014095,0.005079368129372597,0.021841978654265404,2.202768337156158e-05,1.9624081687652506e-05,0.0028315207455307245,0.004981789737939835,0.0035564659629017115,0.0027024366427212954,0.009897331707179546,0.021722227334976196,8.516496745869517e-05,2.31419608098804e-06,0.0002669649838935584,0.002960870275273919,0.003816342679783702,0.4238806664943695,0.6325470805168152,4.987362384796143,0.19709700345993042,4.572237968444824,2.5551199913024902
4,0.0014004294062033296,0.00021353393094614148,0.00017887275316752493,0.0002309490373590961,0.0032917559146881104,9.059328294824809e-05,1.4451308743446134e-05,0.002260371344164014,3.6686691601062194e-05,0.003385452087968588,0.005630938336253166,0.018904797732830048,8.247997902799398e-05,1.2072082427039277e-05,0.002568636555224657,0.00319122732616961,0.002049695700407028,0.003615496214479208,0.007375415880233049,0.021855944767594337,3.275442941230722e-05,8.882501788320951e-06,9.83292848104611e-05,0.00044850390986539423,0.0007424989016726613,0.3792405426502228,0.5674463510513306,4.983526229858398,0.19084474444389343,5.525808334350586,4.915207386016846
5,0.0015979248564690351,0.0006287963478825986,0.000183565411134623,0.00036074614035896957,0.004798049107193947,4.604435889632441e-05,9.690387742011808e-06,0.0018675867468118668,3.8891979784239084e-05,0.001873973524197936,0.006993899121880531,0.020437415689229965,3.158158506266773e-05,1.3064011000096798e-05,0.0032614865340292454,0.0018697333289310336,0.002406239742413163,0.004869210533797741,0.001482033752836287,0.015460406430065632,9.605692321201786e-05,1.4800418284721673e-05,0.00037505137152038515,0.004348131362348795,0.0015481921145692468,0.30997997522354126,0.8637105226516724,5.249567985534668,0.2723110318183899,7.938941955566406,2.9689974784851074
6,0.0017540883272886276,0.0007696255343034863,0.00018946512136608362,0.00046976562589406967,0.008788341656327248,8.925558358896524e-05,1.1863388863275759e-05,0.0016527328407391906,4.81941424368415e-05,0.0014180047437548637,0.002205302705988288,0.007413813378661871,2.4175938960979693e-05,7.27690894564148e-06,0.005479762330651283,0.0015205636154860258,0.003261571517214179,0.0026713069528341293,0.004886017180979252,0.009913512505590916,5.591850640485063e-05,1.0999838195857592e-05,0.00021040414867457002,0.0016795486444607377,0.004291030112653971,0.608100950717926,0.7427135109901428,5.102466583251953,0.18322718143463135,5.086468696594238,3.471234083175659
7,0.001155707286670804,0.0007867854437790811,0.00019325334869790822,0.0003272839530836791,0.008187474682927132,1.1816382539109327e-05,1.251357844012091e-05,0.00182438176125288,4.399865792947821e-05,0.002953996416181326,0.005743082612752914,0.01632586680352688,5.5688022257527336e-05,2.4105936518026283e-06,0.0028393601533025503,0.003079669550061226,0.004486302845180035,0.0040567233227193356,0.0013825629139319062,0.009802849031984806,9.954535926226526e-05,1.431631335435668e-05,0.0002605729387141764,0.0039960043504834175,0.003314998233690858,0.4770871102809906,1.0508880615234375,2.751983642578125,0.32149267196655273,7.646012306213379,4.754854202270508
8,0.0012937563005834818,0.0005199426668696105,0.00021787467994727194,0.0007678882102482021,0.008362147025763988,3.9357400964945555e-05,1.068530764314346e-05,0.003385717747732997,2.706718623812776e-05,0.004085978027433157,0.005724535323679447,0.02626122161746025,4.629914474207908e-05,9.651805157773197e-06,0.0007311778608709574,0.003878610907122493,0.004354018252342939,0.000999221345409751,0.002041397150605917,0.022922217845916748,9.452374069951475e-05,1.9401279132580385e-05,0.00013751153892371804,0.0018716821214184165,0.0022349220234900713,0.3421143591403961,0.3508335053920746,5.1714091300964355,0.18996623158454895,7.352532386779785,2.6492018699645996
9,0.0007963583921082318,0.0003815687377937138,0.00017182269948534667,0.00013677576498594135,0.006936784368008375,5.608924038824625e-05,1.549275293655228e-05,0.00247408589348197,3.6743855162058026e-05,0.0037073499988764524,0.0071491096168756485,0.02549070306122303,7.743454625597224e-05,5.514386884897249e-06,0.006689815782010555,0.00486729247495532,0.004064345732331276,0.0021714819595217705,0.0015691440785303712,0.027371807023882866,4.573554906528443e-05,9.412104191142134e-06,0.0005125438910908997,0.0016634684288874269,0.0015480939764529467,0.4164751470088959,0.5473505258560181,6.742033958435059,0.20042848587036133,5.606938362121582,3.7659823894500732
